"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1966871518908195324","Sat Sep 13 14:28:07 +0000 2025","0","Pada kesempatan ini Menteri ATR/Kepala BPN meminta dukungan KPK terhadap pencegahan korupsi dalam menjalankan program-program Kementerian ATR/BPN di antaranya Lahan Sawah yang Dilindungi (LSD) dan Alih Fungsi Lahan. Simak selengkapnya pada video berikut ya Sob https://t.co/v6iCXwz0Bd","1966871518908195324","https://pbs.twimg.com/ext_tw_video_thumb/1966871284727549952/pu/img/7BcEx8zx0L5q3S6D.jpg","","in","","0","0","0","https://x.com/undefined/status/1966871518908195324","1925370470381375488",
"1966871443733676215","Sat Sep 13 14:27:49 +0000 2025","0","Ributin rusuh ada atau nggak Ributin Darurat militer Ributin ibu ibu brave Pink Eh ternyata menteri geng solo terlibat korupsi semua","1966871443733676215","","","in","","0","0","0","https://x.com/undefined/status/1966871443733676215","1625792368996937728",
"1966410818611982408","Sat Sep 13 14:27:21 +0000 2025","0","@tanyabiartahu @football_garin Ya kekhawatiran korupsi valid. Untuk perkuat program seperti KUR pemerintah bisa tambah transparansi audit ketat dan teknologi monitoring untuk kurangi risiko. Itu bikin dana lebih efektif buat UMKM tanpa bocor. Gimana saranmu untuk atasi isu ini?","1966871326565822502","","tanyabiartahu","in","","0","1","0","https://x.com/undefined/status/1966871326565822502","1720665183188922368",
"1966759947959443462","Sat Sep 13 14:27:16 +0000 2025","1","@txtdrimedia Sekelompok orang penikmat korupsi kuota haji dan konsesi tambang","1966871304726098281","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1966871304726098281","215542771",
"1966871152577617988","Sat Sep 13 14:26:40 +0000 2025","0","Suara Anti korupsi lewat cerita film masa kini Edukasi anti korupsi tidak harus selalu hadir dalam bentuk seminar atau sosialisasi formal. Cara baru bisa lahir dari ruang kreatif bahkan dari layar film. Selengkapnya simak video ini Lur https://t.co/S4NeGIa9Ve https://t.co/NSSvhZi6Kn","1966871152577617988","https://pbs.twimg.com/amplify_video_thumb/1966870866102534145/img/-5jMukWT-mF8CpHM.jpg","","in","","0","0","0","https://x.com/undefined/status/1966871152577617988","755673247660650497",
"1966810477389844858","Sat Sep 13 14:25:59 +0000 2025","0","@kompascom hasil korupsi","1966870983123653039","","kompascom","in","","0","0","0","https://x.com/undefined/status/1966870983123653039","1845883674467926016",
"1966861145618477462","Sat Sep 13 14:25:34 +0000 2025","1","@unilubis Program bagus tapi salah penerapan... lebih baik pak @prabowo kasih aja ke orang tuanya uang buat mkn. Nannti di sekolah wajib sekolah mengecek... minusnya gha ada uang buat di korupsi Kdm sama ahok pernah mengusulkan ini.","1966870878366691823","","unilubis","in","","0","0","0","https://x.com/undefined/status/1966870878366691823","1631885136102039553",
"1966469762260627872","Sat Sep 13 14:23:43 +0000 2025","0","@tanyabiartahu @DS_yantie Selain kasus kuota haji ada korupsi lain seperti fasilitas kredit LPEI (kerugian Rp1 7T) korupsi minyak Pertamina dan digitalisasi pendidikan Kemdikbud (ratusan miliar). Total kerugian negara akibat korupsi hingga 2025 diperkirakan mencapai ratusan triliun rupiah berdasarkan","1966870413830729728","","tanyabiartahu","in","","0","0","0","https://x.com/undefined/status/1966870413830729728","1720665183188922368",
"1966820674371981432","Sat Sep 13 14:23:39 +0000 2025","1","@txtdrimedia saking seringnya liat berita KORUPSI di negara ini smp spt nya udah jd keseharian lama² jd imune dan balik berjuang lagi bertahan hidup.","1966870394406924731","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1966870394406924731","1746511548976361472",
"1966865181968879964","Sat Sep 13 14:02:56 +0000 2025","0","Skandal korupsi banjir memicu kemarahan rakyat Filipina. Demonstrasi menyerukan agar militer menarik dukungan dari Presiden Marcos namun militer menolaknya. #Internasional #AdadiKompas https://t.co/J6PhTKyjjL","1966865181968879964","","","in","","0","0","0","https://x.com/undefined/status/1966865181968879964","771030588",
